name,suggested,lower,upper,type
NormalHydrConductivity,-2.0,-5.0,0.0,log
ThetaRes,0.06,0.0,1.0,scalar
ThetaSat,0.5,0.0,1.0,scalar
NVanGenuchten,1.3,1.01,2.5,scalar
AlphaVanGenuchten,-2.5,-5,0.0,log
VMualem,0.5,0.0,1.0,scalar
SpecificStorativity,-7,-10,-3,log
WiltingPoint,0.15,0.00,1.0,scalar
FieldCapacity,0.25,0.0,1.0,scalar
SoilRoughness,10,0.0,1000.0,scalar
SoilAlbVisDry,0.2,0.0,1.0,scalar
SoilAlbNIRDry,0.2,0.0,1.0,scalar
SoilAlbVisWet,0.2,0.0,1.0,scalar
SoilAlbNIRWet,0.2,0.0,1.0,scalar
SoilEmissiv,0.96,0.0,1.0,scalar
LSAI,1.0,0.0,1.0,scalar
CanopyFraction,0.0,0.0,1.0,scalar
DecayCoeffCanopy,2.5,0,12.5,scalar
VegSnowBurying,1.0,0.0,5.0,scalar
RootDepth,300,0,1500,scalar
MinStomatalRes,60,0,300,scalar
VegReflectVis,0.2,0.0,1.0,scalar
VegReflNIR,0.2,0.0,1.0,scalar
VegTransVis,0.2,0.0,1.0,scalar
VegTransNIR,0.2,0.0,1.0,scalar
CanDensSurface,2.0,0.0,10.0,scalar

